testId	result	coveredStatements
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test076	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)> ::: 4;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)> ::: 5;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)> ::: 8
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test077	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String firstDayOfMonth(int,int)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String firstDayOfMonth(int,int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String firstDayOfMonth(int,int)> ::: 4
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test078	PASS	<comp5111.assignment.cut.Subject$StringAlgorithms: int decodeOctets(int,java.nio.ByteBuffer,java.lang.StringBuilder)> ::: 3
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test079	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)> ::: 4;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)> ::: 5;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String formatFullDate(int,int,int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String formatFullDate(int,int,int)> ::: 4;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String formatFullDate(int,int,int)> ::: 5
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test080	PASS	<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 13;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 14;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 17;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 18;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 21;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 22;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 24;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 25;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 26;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 4
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test081	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)> ::: 4;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String lastDayOfMonth(int,int)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String lastDayOfMonth(int,int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String lastDayOfMonth(int,int)> ::: 4
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test082	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 1;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 19;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 20;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 22;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 6;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 7;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 8;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 9
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test083	PASS	<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int)> ::: 10;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int)> ::: 3;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int)> ::: 4;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int)> ::: 5;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int)> ::: 6;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int)> ::: 7;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int)> ::: 8;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int)> ::: 9;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int,comp5111.assignment.cut.Subject$GamePlayer[])> ::: 10;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int,comp5111.assignment.cut.Subject$GamePlayer[])> ::: 11;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int,comp5111.assignment.cut.Subject$GamePlayer[])> ::: 12;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int,comp5111.assignment.cut.Subject$GamePlayer[])> ::: 13;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int,comp5111.assignment.cut.Subject$GamePlayer[])> ::: 14;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int,comp5111.assignment.cut.Subject$GamePlayer[])> ::: 4;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int,comp5111.assignment.cut.Subject$GamePlayer[])> ::: 5;<comp5111.assignment.cut.Subject$GameConfiguration: void <init>(comp5111.assignment.cut.Subject,int,comp5111.assignment.cut.Subject$GamePlayer[])> ::: 6;<comp5111.assignment.cut.Subject$GamePlayer: void <init>(comp5111.assignment.cut.Subject,java.lang.String)> ::: 3;<comp5111.assignment.cut.Subject$GamePlayer: void <init>(comp5111.assignment.cut.Subject,java.lang.String)> ::: 4;<comp5111.assignment.cut.Subject$GamePlayer: void <init>(comp5111.assignment.cut.Subject,java.lang.String)> ::: 5;<comp5111.assignment.cut.Subject$GamePlayer: void <init>(comp5111.assignment.cut.Subject,java.lang.String)> ::: 6;<comp5111.assignment.cut.Subject: void <init>()> ::: 1;<comp5111.assignment.cut.Subject: void <init>()> ::: 2
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test084	PASS	<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 1;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 10;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 11;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 12;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 13;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 14;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 16;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 17;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 18;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 19;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 2;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 20;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 3;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 6;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 7;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 8;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String[] trimArrayElements(java.lang.String[])> ::: 9
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test085	PASS	<comp5111.assignment.cut.Subject$StringAlgorithms: int decodeOctets(int,java.nio.ByteBuffer,java.lang.StringBuilder)> ::: 3
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test086	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)> ::: 4;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)> ::: 5;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String formatFullDate(int,int,int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String formatFullDate(int,int,int)> ::: 4;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String formatFullDate(int,int,int)> ::: 5
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test087	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)> ::: 4;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String lastDayOfMonth(int,int)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String lastDayOfMonth(int,int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String lastDayOfMonth(int,int)> ::: 4
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test088	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)> ::: 1;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)> ::: 4;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)> ::: 5;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)> ::: 7;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)> ::: 8;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)> ::: 9
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test089	PASS	<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padLeft(java.lang.String,short,char)> ::: 3;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padLeft(java.lang.String,short,char)> ::: 5;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padLeft(java.lang.String,short,char)> ::: 6;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padLeft(java.lang.String,short,char)> ::: 7;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padLeft(java.lang.String,short,char)> ::: 8
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test090	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)> ::: 4;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)> ::: 5;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String formatFullDate(int,int,int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String formatFullDate(int,int,int)> ::: 4;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String formatFullDate(int,int,int)> ::: 5
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test091	PASS	<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 13;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 14;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 15;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 16;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 4
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test092	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String month2MonAbbr(int)> ::: 1;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String month2MonAbbr(int)> ::: 5
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test093	PASS	<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 10;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 11;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 12;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 13;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 15;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 2;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 3;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 4;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 5;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 6;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 7;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 8;<comp5111.assignment.cut.Subject$GamePlace: boolean isAdjacent(comp5111.assignment.cut.Subject$GamePlace)> ::: 9;<comp5111.assignment.cut.Subject$GamePlace: int y()> ::: 1;<comp5111.assignment.cut.Subject$GamePlace: int y()> ::: 2;<comp5111.assignment.cut.Subject$GamePlace: void <init>(comp5111.assignment.cut.Subject,int,int)> ::: 4;<comp5111.assignment.cut.Subject$GamePlace: void <init>(comp5111.assignment.cut.Subject,int,int)> ::: 5;<comp5111.assignment.cut.Subject$GamePlace: void <init>(comp5111.assignment.cut.Subject,int,int)> ::: 6;<comp5111.assignment.cut.Subject$GamePlace: void <init>(comp5111.assignment.cut.Subject,int,int)> ::: 7;<comp5111.assignment.cut.Subject$GamePlace: void <init>(comp5111.assignment.cut.Subject,int,int)> ::: 8;<comp5111.assignment.cut.Subject: void <init>()> ::: 1;<comp5111.assignment.cut.Subject: void <init>()> ::: 2
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test094	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String month2MonAbbr(int)> ::: 1;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String month2MonAbbr(int)> ::: 14
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test095	PASS	<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 13;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 14;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 17;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 18;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 21;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 22;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 24;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 25;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 26;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 4
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test096	PASS	<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 13;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 14;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 17;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 18;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 21;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 22;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 24;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 25;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 26;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.Boolean strToBoolean(java.lang.String,java.lang.String,java.lang.String,java.lang.String)> ::: 4
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test097	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 1;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 10;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 11;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 12;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 13;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 19;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 20;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 21;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 22;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 6;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String dayStr(int)> ::: 7
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test098	PASS	<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 10;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 11;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 12;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 13;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 14;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 15;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 16;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 17;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 18;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 3;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 5;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 6;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 7;<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String padRight(java.lang.String,short,char)> ::: 9
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test099	PASS	<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 10;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 12;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 13;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 14;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 15;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 16;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 17;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 2;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 3;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 5;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 6;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 7;<comp5111.assignment.cut.Subject$StringAlgorithms: boolean startsWithIgnoreCase(java.lang.String,java.lang.String)> ::: 9
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test100	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String firstDayOfMonth(int,int)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String firstDayOfMonth(int,int)> ::: 4
comp5111.assignment.cut.Subject_randoop111_RegressionTest0#test101	PASS	<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 1;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 11;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 12;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 2;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 20;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 21;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 28;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 29;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 3;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 35;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 36;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 41;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 42;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 43;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 44;<comp5111.assignment.cut.Subject$DateTimeAlgorithms: java.lang.String roundSecondToString(long)> ::: 45
